01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
01_A	0	0.238602416152102	0.341194935183558	0.897722479307456	0.941994096664091	0.935453763271821	0.915458855241473	0.914968953872011	0.904423376931233	0.859336855987361	0.860978014302759	0.858721340732382	0.926487829559408	0.924854293830534	0.88944277840885	0.772450789549668	0.774718821488345	0.860338110122193	0.829162603689035	0.810546219193939	0.813230293390204	0.809473046630313
01_B	0.238602416152102	0	0.285032691307383	0.884982585939584	0.922737543102531	0.915258138799579	0.900428428365212	0.909025760673248	0.890705189692554	0.857621977094383	0.859539326620807	0.857515125617248	0.914596225472224	0.915391223327021	0.89952288221354	0.805769835096509	0.810948513678172	0.849567881226687	0.819175770302596	0.821473611977749	0.812744186064566	0.792872044595646
01_C	0.341194935183558	0.285032691307383	0	0.876161832234124	0.920671539760259	0.913135762327115	0.88970790918423	0.90331365758176	0.890992500323623	0.865106689634249	0.870208071571271	0.845917738188075	0.917439061812443	0.924646839814239	0.915682675420822	0.819354837344737	0.824321825947394	0.845555738091744	0.829836610780305	0.844956135760359	0.821345147360571	0.800321630028727
02_A	0.897722479307456	0.884982585939584	0.876161832234124	0	0.327999498407092	0.346627509029868	0.809065318285884	0.814767768518676	0.84623812318169	0.698174389745446	0.688848544082271	0.775627569151924	0.685780291613149	0.684064038615884	0.799895382742926	0.807354016260851	0.776544653331466	0.860437934259741	0.847749402957087	0.943510387188305	0.813003640353064	0.79675969027917
02_B	0.941994096664091	0.922737543102531	0.920671539760259	0.327999498407092	0	0.169801472745642	0.784756314888156	0.804205207679783	0.854757624740517	0.74624853399421	0.693486064299786	0.829401990269773	0.63039527765912	0.63553026201705	0.780392934542675	0.830500830835737	0.789751883501644	0.870959063720578	0.849109764134897	0.961731240946502	0.856129466446144	0.842637465752511
02_C	0.935453763271821	0.915258138799579	0.913135762327115	0.346627509029868	0.169801472745642	0	0.794732959144004	0.802087981831196	0.83762671597637	0.73937823014746	0.683791529208366	0.823846440327709	0.638011408666218	0.667392614604261	0.804088042252518	0.830232849096495	0.792751816297502	0.853179776229904	0.846359595832635	0.956894573691996	0.857931342898238	0.840158107883412
03_A	0.915458855241473	0.900428428365212	0.88970790918423	0.809065318285884	0.784756314888156	0.794732959144004	0	0.294558079214861	0.400095801685818	0.813112473480065	0.7820675210968	0.831261539843528	0.813081480488269	0.782416526476994	0.695388899074109	0.825552381588833	0.767991188987551	0.772174207942787	0.755489038166274	0.877929991248415	0.77075110369337	0.716050689369201
03_B	0.914968953872011	0.909025760673248	0.90331365758176	0.814767768518676	0.804205207679783	0.802087981831196	0.294558079214861	0	0.339243903496068	0.800271252308503	0.770228519078606	0.832848895768789	0.809929013084248	0.79412884164106	0.747659951908174	0.78820889553972	0.736654197230698	0.815861392558832	0.761171439280704	0.870538326630055	0.791583307560023	0.706486645218618
03_C	0.904423376931233	0.890705189692554	0.890992500323623	0.84623812318169	0.854757624740517	0.83762671597637	0.400095801685818	0.339243903496068	0	0.812141471561408	0.792623141442157	0.842313434770107	0.860009949636474	0.827391711159907	0.781827786235477	0.862200810114331	0.827392824004585	0.74308500649913	0.763303506982372	0.858450648281038	0.810583598157565	0.710328641146287
04_A	0.859336855987361	0.857621977094383	0.865106689634249	0.698174389745446	0.74624853399421	0.73937823014746	0.813112473480065	0.800271252308503	0.812141471561408	0	0.170578468004643	0.406447555567593	0.758493600784345	0.718641230190461	0.791811523796259	0.809953282043873	0.784624697830776	0.825229067232206	0.816440662321642	0.897910444730521	0.781771793810462	0.738905188063638
04_B	0.860978014302759	0.859539326620807	0.870208071571271	0.688848544082271	0.693486064299786	0.683791529208366	0.7820675210968	0.770228519078606	0.792623141442157	0.170578468004643	0	0.482966711934183	0.675589926868039	0.655596169575582	0.763253193984928	0.823544609233533	0.779549273618523	0.808855149647232	0.790119459819418	0.908353275482276	0.779414383896715	0.739218808909226
04_C	0.858721340732382	0.857515125617248	0.845917738188075	0.775627569151924	0.829401990269773	0.823846440327709	0.831261539843528	0.832848895768789	0.842313434770107	0.406447555567593	0.482966711934183	0	0.853358824060313	0.818038621950483	0.820652965339733	0.851199612013665	0.844949771638216	0.884271678312181	0.890060168693511	0.893519787982507	0.844827571030376	0.807964867080186
05_A	0.926487829559408	0.914596225472224	0.917439061812443	0.685780291613149	0.63039527765912	0.638011408666218	0.813081480488269	0.809929013084248	0.860009949636474	0.758493600784345	0.675589926868039	0.853358824060313	0	0.181344090144335	0.807310476714869	0.823739571640918	0.780373101514988	0.772424193868526	0.769915199609924	0.936206154587463	0.809966762180097	0.755969064975028
05_B	0.924854293830534	0.915391223327021	0.924646839814239	0.684064038615884	0.63553026201705	0.667392614604261	0.782416526476994	0.79412884164106	0.827391711159907	0.718641230190461	0.655596169575582	0.818038621950483	0.181344090144335	0	0.730599806144079	0.847283204781545	0.8009698955108	0.784617664084911	0.788003346234616	0.933830827363806	0.805202143906612	0.761337672705823
06_A	0.88944277840885	0.89952288221354	0.915682675420822	0.799895382742926	0.780392934542675	0.804088042252518	0.695388899074109	0.747659951908174	0.781827786235477	0.791811523796259	0.763253193984928	0.820652965339733	0.807310476714869	0.730599806144079	0	0.88929667843409	0.829178053568827	0.853707602803112	0.82021820001508	0.929282747870823	0.805994609306314	0.829765546307486
07_A	0.772450789549668	0.805769835096509	0.819354837344737	0.807354016260851	0.830500830835737	0.830232849096495	0.825552381588833	0.78820889553972	0.862200810114331	0.809953282043873	0.823544609233533	0.851199612013665	0.823739571640918	0.847283204781545	0.88929667843409	0	0.257406557186376	0.840778615950876	0.76434357144922	0.89420760782173	0.753801033263348	0.79439150514836
07_B	0.774718821488345	0.810948513678172	0.824321825947394	0.776544653331466	0.789751883501644	0.792751816297502	0.767991188987551	0.736654197230698	0.827392824004585	0.784624697830776	0.779549273618523	0.844949771638216	0.780373101514988	0.8009698955108	0.829178053568827	0.257406557186376	0	0.806837350729041	0.725433581595352	0.866736855714776	0.753343154120567	0.787271263735217
08_A	0.860338110122193	0.849567881226687	0.845555738091744	0.860437934259741	0.870959063720578	0.853179776229904	0.772174207942787	0.815861392558832	0.74308500649913	0.825229067232206	0.808855149647232	0.884271678312181	0.772424193868526	0.784617664084911	0.853707602803112	0.840778615950876	0.806837350729041	0	0.30554975694837	0.836677669923291	0.77445182839394	0.742207616780183
08_B	0.829162603689035	0.819175770302596	0.829836610780305	0.847749402957087	0.849109764134897	0.846359595832635	0.755489038166274	0.761171439280704	0.763303506982372	0.816440662321642	0.790119459819418	0.890060168693511	0.769915199609924	0.788003346234616	0.82021820001508	0.76434357144922	0.725433581595352	0.30554975694837	0	0.838938054728333	0.741732278794755	0.702966687839653
09_A	0.810546219193939	0.821473611977749	0.844956135760359	0.943510387188305	0.961731240946502	0.956894573691996	0.877929991248415	0.870538326630055	0.858450648281038	0.897910444730521	0.908353275482276	0.893519787982507	0.936206154587463	0.933830827363806	0.929282747870823	0.89420760782173	0.866736855714776	0.836677669923291	0.838938054728333	0	0.857258265626522	0.834666227051448
10_A	0.813230293390204	0.812744186064566	0.821345147360571	0.813003640353064	0.856129466446144	0.857931342898238	0.77075110369337	0.791583307560023	0.810583598157565	0.781771793810462	0.779414383896715	0.844827571030376	0.809966762180097	0.805202143906612	0.805994609306314	0.753801033263348	0.753343154120567	0.77445182839394	0.741732278794755	0.857258265626522	0	0.344497493519404
10_B	0.809473046630313	0.792872044595646	0.800321630028727	0.79675969027917	0.842637465752511	0.840158107883412	0.716050689369201	0.706486645218618	0.710328641146287	0.738905188063638	0.739218808909226	0.807964867080186	0.755969064975028	0.761337672705823	0.829765546307486	0.79439150514836	0.787271263735217	0.742207616780183	0.702966687839653	0.834666227051448	0.344497493519404	0
