genus	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
Cloacibacillus	8.900875569392246	5.255925421016815	7.359843756820921	0.126502102580506	0.03144999993419	0.0219780298883151	0.0	0.0	0.0	0.0432484953155944	0.0132379919392617	0.0377768773308319	0.0	0.0	0.0843259122031157	0.0	0.0	0.0	0.0	0.0	1.091221541813732	0.3848396553186884
Oscillospiraceae_unclassified	8.885000283370461	15.017174036940082	1.0411728822213768	1.8709638456662745	2.095961211054938	4.311324011028551	3.57799323069658	6.299125347294255	7.745697811747407	10.339602832864582	8.531521180967335	13.297140897252753	0.578174863722662	0.5946972174247399	0.7962689456995425	1.5313182479119063	1.4521543736945544	1.1859967628698451	2.1135069458905758	0.8106161265927802	3.819513313481577	2.6176180594436964
Bacteroides	7.121757685590327	10.280419206736946	16.703833772537735	6.975281871229216	9.138858118591877	7.668082064732989	12.606810335901631	15.787444748664797	3.936077250723553	4.117740330661515	4.450204511226518	1.6280545790215195	13.996497269310286	10.059163655744472	0.6492022524033235	11.299141294405926	11.764508592765264	6.655436192098869	17.091893461482343	1.8484284790178895	8.060665875369466	10.18354342861361
Eggerthella	6.292623314584055	3.83210791246892	5.104884448536071	0.0240427972740727	0.0047330855404349	0.0116378431807707	0.4895735546634564	0.6530531248315621	1.167191081602553	0.6350488756050613	0.3796292322231968	2.8759539305934267	0.1615619277970795	0.2023320597704068	0.1472585611283079	0.6386791828583629	0.7099629003173137	0.4415246524358279	0.4941635458949552	2.360281611464737	0.1864018131318713	0.2709515122389662
Odoribacter	5.777173147654043	0.5124401981169082	0.3642485319975819	0.244279644946173	0.0755735131438948	0.12168403991976	0.0	0.0	0.0	0.2391055689257658	0.3176860683855625	0.2474303322726224	0.0	0.0	1.0035036468858531	7.034316038343582	6.870455094262624	0.0	0.0	0.0	0.2444118538615669	0.286402178427959
Mediterraneibacter	4.969393814101253	4.687295244519892	4.88430152463589	2.001470400769352	0.942720720510378	1.5923312618522651	2.907864185113864	1.1791182502043265	8.333891462149454	1.6947309921584357	1.95248798933587	0.413894155200793	1.7092594338122604	2.3389144336402765	2.368189766414155	0.3609750840351778	0.804897953974841	4.405617678455062	2.831433171598741	2.2024510218904103	1.6731334585132416	3.846213583857269
Methanobrevibacter	3.965058911145128	5.456781125357312	7.616650578771464	2.5162355355835047	1.0428455768475515	1.1187359272185553	0.0	0.0	0.0	2.1620061217120687	1.3494515567896816	3.474772342025509	0.0006576228084149	0.0	0.0	3.5513001729635327	2.094294858934729	0.0	0.0	0.0	5.618183538794813	3.3421600198181225
Parabacteroides	3.164148206115019	3.1978920288085684	4.4194541519025545	0.7476586255997618	0.7696718945814075	0.5878548084028581	1.8827130541062755	0.359713163706326	0.7621496798455633	2.968083914588479	4.282477523272813	0.3874702281870547	1.1922523780668972	1.0456238114178615	0.2005106057981006	1.010765230459335	0.9878470364532156	3.928484143111489	3.544189905207958	0.6070328232401779	2.2574495904566936	3.4885208934313905
GGB9480	3.082524320349777	2.392784517882386	1.6149344811826585	0.6338774946873438	0.1460119976078723	0.2350893600609619	0.0716649966383399	0.2248274127719917	0.0	0.0	0.0	0.0	0.0	0.0	4.143394555227063	1.7384896000678205	2.882611379880146	0.437844784584025	2.6978416996054446	0.7831919054175579	2.948285814458127	1.4176729457258204
GGB40351	2.8431576667964955	3.8765385621396327	4.026292331599828	0.0	0.0	0.0	0.0	0.0	0.0	0.0280149775068815	0.0072667395803983	0.0638635879985179	0.0	0.0	0.0	1.0154633308017222	1.2416028291217924	0.0	0.0	0.0	0.5716606100343685	0.0737283026500588
