sample	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
Firmicutes	41.80540245708262	49.67158048085259	39.11461188882594	51.90108194163974	50.32460993642628	54.439407560028016	58.9938455035004	56.67995168262844	71.93444027066406	67.60671087284031	66.86831455480095	73.68870616395147	57.35908772762215	60.95332819733634	77.31713727967629	47.4985731038619	56.39879643769864	54.93974714421068	46.98565246565437	76.76919103295322	46.790862121506265	55.21499844396781
Bacteroidota	18.54671955807717	15.733621405965335	23.36650175071742	13.53137475761071	15.220036340086985	13.878961614157978	20.586024353422133	19.83801072213618	6.939388928377456	11.402283807943396	13.545193998476996	3.31431788731545	25.587312550696872	22.2134890436032	3.6207901869421	29.48497154116393	26.06526891617897	16.003702794790225	27.77705148347522	5.779967224818274	15.64912050251387	20.336754625802875
Synergistetes	8.900875569392246	5.255925421016815	7.359843756820921	0.7756174236338592	0.2582853802628694	0.2877922815083903	0.0	0.0	0.0	0.0459910411465517	0.0132379919392617	0.0377768773308319	0.0	0.0	0.0843259122031157	0.2467596278529372	0.0499892108452735	0.0	0.0	0.0	1.091221541813732	0.3848396553186884
Actinobacteria	8.304466494213282	5.981919386905861	6.246301035237805	2.261229104161207	1.7331542086842306	1.6351292864217757	5.765378891538175	5.149663777856419	5.460454691521108	1.198629228232061	0.9837809848938852	4.1384486973483146	3.0360045629947248	3.596553970221923	4.786919264053571	2.2254210167461013	2.159024129229026	13.312580590752502	10.754365031149774	2.7318875166335514	13.262419298786508	4.0642472014522415
Euryarchaeota	3.965058911145128	5.456781125357312	7.616650578771464	2.5162355355835047	1.0428455768475515	1.1187359272185553	0.0	0.0	0.0	2.360170009572578	1.4995993837041468	4.175309037943722	0.0006576228084149	0.0	0.0	3.5513001729635327	2.094294858934729	0.0	0.0	0.0	5.618183538794813	3.3421600198181225
Proteobacteria	2.2588444484644583	1.6027973412338812	2.5771458486677576	9.087839644687971	12.610629681488811	10.32286545753153	0.7047963306313609	0.3983016130715608	0.9479133077167194	0.2682312347754025	0.296494986020056	0.3060973299127448	1.5815561938538427	1.0388911900403484	1.2739762412756792	0.2645546671386268	0.5535277832355522	0.6457700660209962	1.1578187782086231	0.1311001104088465	0.6123987016678286	1.1952818835157006
Candidatus_Thermoplasmatota	0.3930017121267773	0.1129666659614925	0.3375440179638012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15538910607894	0.0839976019477456
Verrucomicrobia	0.0	0.0	0.0	0.3373148170067155	0.7977504938966743	0.3969021944628998	1.5107909957577663	7.033500353289836	1.3719197426572676	2.505319888457729	2.5245699987343877	0.7947411084884617	1.258876677995099	0.5279099667782549	0.1295020653949804	3.256308464686797	2.600400469370592	0.0	0.0	0.2350158116952209	0.2986569603030063	0.2908615515721158
Bacteria_unclassified	0.0	0.0	0.0	0.0	0.0419087244819449	0.0503539989705756	0.0191778334524848	0.0399701101764178	0.0966297070441312	0.04758017985234	0.062663832225773	0.0103240081329854	0.0444517471309676	0.0238734159606829	0.0	0.0	0.0007982309117009	0.0836001387025049	0.061548181097548	0.0	0.0014358507706875	0.0272998576863236
Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.029997670964508	0.0	0.0060382722304466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026485645096472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus_Saccharibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005743049731474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9600134984552616	0.7859490406277576	0.0	0.0	0.0	0.0	0.0
