species	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
Cloacibacillus_evryensis	8.900875569392246	5.255925421016815	7.359843756820921	0.126502102580506	0.03144999993419	0.0219780298883151	0.0	0.0	0.0	0.0432484953155944	0.0112818920285996	0.0304359368744629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.091221541813732	0.3848396553186884
Oscillospiraceae_bacterium	8.541838215217696	13.855607159885666	0.6044245829637416	1.449555525685561	0.7282307366086563	0.9403163751655812	0.0	0.0	0.0	0.0745528190683281	0.0227696893109531	0.006476283158799	0.0008531322919977	0.0	0.0794420037499412	0.0807513336317181	0.4424194828102653	0.0288270479291345	0.0563439944207542	0.0650490193084986	0.0152183485753684	0.0219231277810831
Eggerthella_lenta	6.292623314584055	3.83210791246892	5.104884448536071	0.0240427972740727	0.0047330855404349	0.0116378431807707	0.4895735546634564	0.6530531248315621	1.167191081602553	0.6350488756050613	0.3796292322231968	2.8759539305934267	0.1615619277970795	0.2023320597704068	0.1472585611283079	0.6386791828583629	0.7099629003173137	0.4415246524358279	0.4941635458949552	2.360281611464737	0.1864018131318713	0.2709515122389662
Odoribacter_laneus	5.777173147654043	0.5124401981169082	0.3642485319975819	0.244279644946173	0.0755735131438948	0.12168403991976	0.0	0.0	0.0	0.0500236942064017	0.142263371572805	0.188590403172986	0.0	0.0	0.9662987299907768	6.913643974986886	6.758095022634897	0.0	0.0	0.0	0.0	0.0
Bacteroides_fragilis	5.661037770537096	8.023843420753966	13.610207204346056	0.233271421043763	0.274945513248352	0.2657321214635418	0.3475927557000167	0.0511481918359245	0.0888736504722643	1.072805326510852	0.060184389795153	0.0763060065105498	0.0	0.0	0.0	0.5299317205569266	0.4545471501846313	0.0	0.0	0.2548260001956235	0.0	0.0
Ruminococcus_torques	4.607940655532084	4.28312803875278	4.350540394636009	0.4398866972836628	0.0670506780026263	0.164342443223164	1.429594028906405	0.742834335736308	2.854601872622169	0.8992645448335793	1.1147710438236638	0.0425584321863938	0.3538988256690373	0.5380795825335273	0.84856165120889	0.3288145312258392	0.7238140207964886	2.8654867507246515	2.588033360725096	2.1821612092845077	1.584619936876033	3.7780233979500486
Methanobrevibacter_smithii	3.965058911145128	5.456781125357312	7.616650578771464	2.5162355355835047	1.0428455768475515	1.1187359272185553	0.0	0.0	0.0	2.1620061217120687	1.3494515567896816	3.474772342025509	0.0	0.0	0.0	3.5513001729635327	2.094294858934729	0.0	0.0	0.0	5.618183538794813	3.3421600198181225
Parabacteroides_distasonis	3.164148206115019	3.1978920288085684	4.4194541519025545	0.2120188748245743	0.2380487736281155	0.1756024876838816	0.0	0.0	0.0	2.000717086831035	3.0389727989250903	0.2452513958827461	1.1922523780668972	1.0456238114178615	0.0458302480739862	1.010765230459335	0.9878470364532156	2.6166240017538827	2.542592137392224	0.6070328232401779	0.6427769630313863	1.9972045854963525
GGB9480_SGB14873	3.082524320349777	2.392784517882386	1.6149344811826585	0.6338774946873438	0.1460119976078723	0.2350893600609619	0.0716649966383399	0.2248274127719917	0.0	0.0	0.0	0.0	0.0	0.0	4.143394555227063	0.0	0.0	0.437844784584025	2.6978416996054446	0.7831919054175579	2.948285814458127	1.4176729457258204
GGB40351_SGB14301	2.8431576667964955	3.8765385621396327	4.026292331599828	0.0	0.0	0.0	0.0	0.0	0.0	0.0280149775068815	0.0072667395803983	0.0638635879985179	0.0	0.0	0.0	1.0154633308017222	1.2416028291217924	0.0	0.0	0.0	0.5716606100343685	0.0737283026500588
