Sample	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation"	0	0	0	0	0	0	0	0.209102	0	0	0	0.865714	0	0	0.335869	0	0	0	0	1.19839	0	0
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation|unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.636853	0	0
1CMET2-PWY: folate transformations III (E. coli)	391.209	299.829	305.075	273.493	451.06	352.995	302.52	361.424	388.716	398.729	304.826	389.362	338.66	338.243	399.89	411.595	369.187	283.841	321.038	315.673	387.101	408.915
1CMET2-PWY: folate transformations III (E. coli)|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	11.8591	0.754591	1.95579	0	5.25437	0	16.5343	1.17728	0	26.7009	4.88456	17.1956	0	0	7.51172	4.71826	2.17207
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	43.0581	2.22138	3.14593	0.702122	0	10.3435	0	0.60339	0	0	0	0	0	22.0884	0	2.99702	3.43866
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	5.45662	0	0	0	0	14.6146	9.31955	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	1.75395	7.01821	0	0	0	0	0	6.24319	3.1202	0	0	0	6.33465	0	5.95981	2.45464	12.6585	12.8667
1CMET2-PWY: folate transformations III (E. coli)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0	11.4556	0	2.74488	0	0	13.2736	0	40.3863	5.78753	0	21.7481	20.2252	42.2342	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	3.00423	0	0	0	0	0	0	0	0	6.755	5.58169
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	2.30496	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	5.62556	18.9635	24.1349	0	0	0	0	0	0	3.89194	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_fragilis	0	0	1.82318	0	0	4.15228	1.55719	0	0	0	0	0.209468	0	0	0	0.591318	9.15016	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49267	0	10.1271	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0	0	0	36.2973	6.44086	0	0	0	0	0	0	0	0	0	0	0	14.065	9.34876
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0.289392	0	0	0	0	0	3.166	0	2.30532	2.88647
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	4.02999	0	0	0	28.7526	5.16358	11.4413	14.4107	0	7.87476	0	9.16279	0	8.08397	0	53.86	61.082
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	4.91289	15.0711	0	0	0	0	0	0	0	8.34503	7.61892
1CMET2-PWY: folate transformations III (E. coli)|g__Barnesiella.s__Barnesiella_intestinihominis	0	2.41289	0	0	0	0	0	0	0	0	0	3.13641	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_hydrogenotrophica	1.68338	0	0	3.24112	0	0	0	0	2.01893	0	13.3374	0	0	0	0	0	0	3.30996	3.79572	1.24536	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_obeum	0	0	0	0	3.58822	0	1.40129	2.54483	0	7.7488	0	0.576759	1.26322	0	5.33484	4.3868	0	0	0	0	7.53483	16.4715
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_wexlerae	0	0	0	0	0	0	4.33837	0.46943	0	0	0	6.94107	4.00855	0	0	0	3.3885	0	0	0	0.160965	0.101573
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Ruminococcus_torques	35.6457	0	19.4582	0	49.9869	1.94498	5.28577	8.06618	36.9188	17.0246	0	12.9443	7.48439	0	15.8618	17.1395	3.36314	0	10.2428	7.05892	26.6343	42.3505
1CMET2-PWY: folate transformations III (E. coli)|g__Butyricimonas.s__Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7429	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Clostridium.s__Clostridium_disporicum	0	0	0	0	0	7.66237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Coprococcus.s__Coprococcus_comes	0	0	0	0	0	0	0	0	0	0	0	1.97831	1.01314	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Eisenbergiella.s__Eisenbergiella_tayi	0	0	0	1.47104	0	0.43402	0	0	0	0.818204	0	0	0	0.588129	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Escherichia.s__Escherichia_coli	0	0	111.394	0	10.574	0	87.6457	0	0	4.4424	0	0	0	0	0	8.43184	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0	0	0	1.26697	0	0	3.93637	0	0	1.21557	0	3.54474	2.00581	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0	0	0	0	0	0	0	0	0	0.273949	0.936397	0	0	0	1.08501	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Hungatella.s__Hungatella_effluvii	0	0	0	0	0	0	0	0	0	0	0	0.193956	0	0	0	0	0	0	0	0	0	0
