feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	spike_inhibition	yes	1.79583935619298	0.369606473750924	22	9	0.00000118106744991843	0.00170664246513214
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	spike_inhibition	yes	0.434272469175145	0.0961993687520648	22	22	0.00000635273023669322	0.00458984759601085
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	spike_inhibition	yes	0.782236534826903	0.178599799279031	22	22	0.0000118772614006663	0.0057208809079876
P23.PWY..reductive.TCA.cycle.I	spike_inhibition	yes	2.77731834775802	0.663653076251536	22	15	0.0000285298120456523	0.0103063946014919
PWY.5675..nitrate.reduction.V..assimilatory.	spike_inhibition	yes	2.00822638827515	0.495739358751951	22	16	0.0000510052556816689	0.0147405188920023
PWY.5723..Rubisco.shunt	spike_inhibition	yes	1.67300689795023	0.424606737888728	22	18	0.0000814365449027448	0.0196126345640777
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.	spike_inhibition	yes	1.09488764791696	0.282469473786115	22	11	0.000106132158734179	0.0219087099101269
PWY0.1337..oleate..beta..oxidation	spike_inhibition	yes	6.44103805404056	1.67850443231968	22	13	0.000124360386548476	0.0224625948203186
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	stay_years	stay_years	0.721858484107915	0.190589485826599	22	22	0.000152168094115443	0.024431432888535
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.	spike_inhibition	yes	0.53239400313101	0.143122338407664	22	21	0.000199339077012076	0.0288044966282449
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	spike_inhibition	yes	0.114256184052058	0.0318310232117057	22	21	0.000331363690827924	0.0299262833278969
PWY.7858...5Z..dodecenoate.biosynthesis.II	spike_inhibition	yes	2.70884456658579	0.738237043513338	22	16	0.000243175092272783	0.0299262833278969
