	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	0	0	0	0	0	0.209102	0	0	0	0.865714	0	0	0.335869	0	0	0	0	1.19839	0	0
1CMET2-PWY: folate transformations III (E. coli)	391.209	299.829	305.075	273.493	451.06	352.995	302.52	361.424	388.716	398.729	304.826	389.362	338.66	338.243	399.89	411.595	369.187	283.841	321.038	315.673	387.101	408.915
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	58.3943	0	5.90265	0	51.9932	0.644424	0	0.330655	0	0	39.232	0.857731	0.356657	3.84926	0	0.218994	0	0.490609	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	9.28162	0	0	0	0	0	0	0	0	0	0	0	0.389976	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	2.28229	0	0	6.60983	1.89522	1.26367	0	0	0	0	3.24141	0	0	0	2.28343	0	7.42858	3.71335	0	0.407876
ANAEROFRUCAT-PWY: homolactic fermentation	257.755	309.977	343.475	218.447	118.97	228.371	300.615	253.839	268.869	180.408	149.553	157.078	275.65	267.467	200.625	221.38	182.41	226.164	225.566	182.104	185.142	163.495
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	445.476	407.249	431.97	352.883	549.768	390.825	399.635	431.89	463.995	482.004	331.512	516.277	442.958	408.805	536.606	537.036	504.148	387.608	409.422	409.733	465.55	488.461
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	50.2795	16.5134	235.851	41.0535	110.218	79.2076	218.193	16.8479	43.6319	69.0292	0	32.0961	222	33.3135	35.3727	111.601	42.4837	22.0673	42.0808	33.2439	61.0281	71.3953
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0.914571	51.2282	0	5.41391	0	51.956	1.01227	0	5.00917	0	0	46.9421	1.9011	0	5.03367	0	0.802482	0	1.92615	0	0.346276
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	140.752	75.9622	198.195	89.1311	17.5315	102.432	150.241	138.106	104.11	134.085	29.4511	70.7021	143.338	119.716	138.019	48.0298	61.4342	64.9299	116.197	25.0858	212.027	189.525
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	339.575	406.002	350.654	288.527	482.094	353.62	345.291	398.413	417.308	429.798	358.563	463.458	393.301	339.827	483.974	544.62	451.387	317.538	340.919	571.897	450.672	478.009
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	337.722	404.887	355.652	271.023	501.838	337.015	348.224	403.854	417.247	430.569	354.804	465.458	409.916	322.413	495.638	556.728	456.123	301.552	340.021	586.399	444.845	479.973
ARO-PWY: chorismate biosynthesis I	394.741	412.776	448.217	299.776	545.179	388.9	419.063	419.642	488.955	480.905	355.931	526.038	436.866	367.076	527.28	550.922	504.961	332.023	366.205	536.902	530.785	577.127
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	248.444	139.719	341.52	91.2052	213.255	141.359	294.416	181.888	223.98	233.494	172.162	158.967	283.369	115.451	220.362	185.495	150.96	102.63	160.295	100.802	258.29	262.541
AST-PWY: L-arginine degradation II (AST pathway)	0	0.612694	98.8722	0	7.40975	0	74.9544	1.64834	0	3.55346	0	0.538247	64.5144	0.980602	0.515717	7.34788	0.902392	0.384764	0	2.23998	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	130.463	91.3786	249.015	9.86089	36.5326	132.352	202.193	88.2732	82.1669	92.9401	35.606	48.5842	182.19	14.7254	82.0935	86.6176	42.6958	8.72755	106.68	34.3558	98.0528	103.252
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	440.155	483.014	429.501	401.895	519.949	411.113	400.998	405.224	441.251	434.043	389.186	445.781	432.219	435.23	485.771	466.312	440.164	424.611	408.415	445.513	455.532	489.042
CALVIN-PWY: Calvin-Benson-Bassham cycle	423.991	373.582	572.406	342.264	567.975	341.961	504.872	407.133	443.306	508.393	392.333	445.816	450.38	387.587	528.269	540.16	435.768	335.103	346.591	412.928	408.087	461.292
CARNMET-PWY: L-carnitine degradation I	0	0	0.462304	0	2.49351	0	0	0	0	1.67747	0	0	6.00832	0	0	0.125778	0	0	0	0	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0.253049	0	0	0	0	1.13996	0	0	0	1.23002	0.606904	0	0	0.59555	0	0	0	0.980298	0	0.224825
CENTFERM-PWY: pyruvate fermentation to butanoate	17.859	30.512	10.3391	28.4523	12.9063	42.5947	10.9053	28.2981	10.747	18.1158	14.1038	36.6394	11.3221	18.6829	35.2042	50.3855	38.9525	21.8163	35.1392	45.1037	29.6018	24.7685
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0	0	0	0	0	0	0	0.871645	0	2.42479	0	0	0	0	1.04754	0.571388	0.963355	0.41631	0	1.18586	0	0.239394
CITRULBIO-PWY: L-citrulline biosynthesis	177.365	191.918	243.346	72.0619	25.9843	166.292	192.158	242.374	188.859	137.407	71.3769	155.665	187.683	93.4302	100.421	113.639	118.933	77.3606	133.346	21.4285	272.739	253.932
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	327.622	339.412	300.983	282.439	483.923	377.371	303.026	369.024	377.477	415.683	315.613	410.623	360.037	355.425	430.208	428.079	365.434	338.137	366	336.251	512.932	520.522
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	304.48	318.782	281.457	263.588	460.374	372.838	283.804	341.561	353.615	393.486	299.934	382.366	334.245	334.57	423.152	395.294	339.721	317.329	347.515	308.637	480.292	483.558
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	239.659	124.261	247.398	83.684	322.449	153.937	243.956	152.309	191.562	254.273	83.1042	184.647	254.671	105.62	276.054	261.176	142.868	80.9069	154.572	104.183	234.725	249.618
COLANSYN-PWY: colanic acid building blocks biosynthesis	164.45	98.8745	264.136	115.848	84.5808	144.511	232.254	146.457	152.356	154.517	73.2997	137.129	197.6	173.113	136.362	121.477	128.721	91.094	122.357	60.1453	172.945	184.774
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	420.851	436.531	462.114	312.924	561.493	408.204	436.896	446.615	511.746	507.274	377.57	550.974	456.411	361.18	551.9	566.68	532.045	342.844	385.709	559.68	557.485	600.424
CRNFORCAT-PWY: creatinine degradation I	0	1.09705	0	0.718318	0	0.490739	0	2.41767	0	0	0	1.21058	0.580935	1.60103	0.95828	1.56456	0	2.68047	0	4.19183	7.04915	5.35456
DAPLYSINESYN-PWY: L-lysine biosynthesis I	139.566	222.249	245.559	40.2617	60.1448	40.2106	202.353	70.309	163.058	45.4501	10.2329	97.9088	168.954	16.8177	59.7889	68.1404	94.2289	24.7353	26.0645	36.4354	66.7871	85.5066
DARABCATK12-PWY: D-arabinose degradation I	6.44337	6.44396	24.3174	5.26395	5.20178	0	17.8809	6.8416	2.35513	5.93326	0	0	11.472	11.362	1.58814	4.35278	0.308912	2.02962	1.30745	0.486767	0	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	0	0	1.13788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0	135.39	0	44.3046	0	111.976	1.7267	0	13.4968	0	3.93897	18.8124	0	0	21.5518	0	0	0	3.4765	0	0
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0	0	0	0	0	0	0	0	0	0	0	0	0.285131	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	545.852	418.307	450.889	462.895	482.92	483.284	413.312	560.526	501.287	480.931	325.289	471.649	422.133	507.323	668.957	586.255	452.108	440.677	464.248	375.058	626.614	652.342
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	43.6504	0	9.97618	0	41.9482	0.25543	0	4.76915	0	1.97075	17.8984	0.359556	1.15955	11.1799	0.596502	0	0	2.2923	0	0.373958
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	2.99339	160.23	0	25.7872	0.975393	141.102	6.63013	0	10.7473	0	3.27002	146.065	4.83383	5.22244	18.9416	5.78781	0.867013	1.97369	9.70578	0	0.869594
FASYN-ELONG-PWY: fatty acid elongation -- saturated	130.896	100.247	257.997	7.90827	26.4417	143.505	202.425	89.8558	86.3849	87.973	38.1839	45.1722	193.266	10.2356	78.5786	89.2222	39.7164	7.67882	95.2464	32.8348	92.5111	99.0124
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	36.4843	1.83398	1.21951	0	0	0	0.900261	1.46006	44.3145	0	0	0	4.49073	0	0	0	0	0	0	0	3.48746	4.09161
