"sample","coverage"
"01_A",94.9510390048272
"01_B",93.6099374195818
"01_C",95.3523788078305
"02_A",89.7797598643107
"02_B",93.5096732739747
"02_C",94.8692820917851
"03_A",95.330341386834
"03_B",94.8444781243199
"03_C",96.0802636119102
"04_A",90.5754222860636
"04_B",91.9188066276208
"04_C",89.9958170237545
"05_A",94.9997225637587
"05_B",95.7875199950339
"06_A",86.5653908213311
"07_A",91.7640016911113
"07_B",90.3419609292824
"08_A",93.9869875483586
"08_B",94.2039568198688
"09_A",86.6024538338796
"10_A",90.8918429142244
"10_B",94.0007793674918
