"Taxonomy","Sample","Individual","SampleTime","Value"
"Firmicutes","01_A","01","S1",41.8054024570826
"Firmicutes","01_B","01","S2",49.6715804808526
"Firmicutes","01_C","01","S3",39.1146118888259
"Firmicutes","02_A","02","S1",51.9010819416397
"Firmicutes","02_B","02","S2",50.3246099364263
"Firmicutes","02_C","02","S3",54.439407560028
"Firmicutes","03_A","03","S1",58.9938455035004
"Firmicutes","03_B","03","S2",56.6799516826284
"Firmicutes","03_C","03","S3",71.9344402706641
"Firmicutes","04_A","04","S1",67.6067108728403
"Firmicutes","04_B","04","S2",66.8683145548009
"Firmicutes","04_C","04","S3",73.6887061639515
"Firmicutes","05_A","05","S1",57.3590877276222
"Firmicutes","05_B","05","S2",60.9533281973363
"Firmicutes","06_A","06","S1",77.3171372796763
"Firmicutes","07_A","07","S1",47.4985731038619
"Firmicutes","07_B","07","S2",56.3987964376986
"Firmicutes","08_A","08","S1",54.9397471442107
"Firmicutes","08_B","08","S2",46.9856524656544
"Firmicutes","09_A","09","S1",76.7691910329532
"Firmicutes","10_A","10","S1",46.7908621215063
"Firmicutes","10_B","10","S2",55.2149984439678
"Bacteroidota","01_A","01","S1",18.5467195580772
"Bacteroidota","01_B","01","S2",15.7336214059653
"Bacteroidota","01_C","01","S3",23.3665017507174
"Bacteroidota","02_A","02","S1",13.5313747576107
"Bacteroidota","02_B","02","S2",15.220036340087
"Bacteroidota","02_C","02","S3",13.878961614158
"Bacteroidota","03_A","03","S1",20.5860243534221
"Bacteroidota","03_B","03","S2",19.8380107221362
"Bacteroidota","03_C","03","S3",6.93938892837746
"Bacteroidota","04_A","04","S1",11.4022838079434
"Bacteroidota","04_B","04","S2",13.545193998477
"Bacteroidota","04_C","04","S3",3.31431788731545
"Bacteroidota","05_A","05","S1",25.5873125506969
"Bacteroidota","05_B","05","S2",22.2134890436032
"Bacteroidota","06_A","06","S1",3.6207901869421
"Bacteroidota","07_A","07","S1",29.4849715411639
"Bacteroidota","07_B","07","S2",26.065268916179
"Bacteroidota","08_A","08","S1",16.0037027947902
"Bacteroidota","08_B","08","S2",27.7770514834752
"Bacteroidota","09_A","09","S1",5.77996722481827
"Bacteroidota","10_A","10","S1",15.6491205025139
"Bacteroidota","10_B","10","S2",20.3367546258029
"Synergistetes","01_A","01","S1",8.90087556939225
"Synergistetes","01_B","01","S2",5.25592542101681
"Synergistetes","01_C","01","S3",7.35984375682092
"Synergistetes","02_A","02","S1",0.775617423633859
"Synergistetes","02_B","02","S2",0.258285380262869
"Synergistetes","02_C","02","S3",0.28779228150839
"Synergistetes","03_A","03","S1",0
"Synergistetes","03_B","03","S2",0
"Synergistetes","03_C","03","S3",0
"Synergistetes","04_A","04","S1",0.0459910411465517
"Synergistetes","04_B","04","S2",0.0132379919392617
"Synergistetes","04_C","04","S3",0.0377768773308319
"Synergistetes","05_A","05","S1",0
"Synergistetes","05_B","05","S2",0
"Synergistetes","06_A","06","S1",0.0843259122031157
"Synergistetes","07_A","07","S1",0.246759627852937
"Synergistetes","07_B","07","S2",0.0499892108452735
"Synergistetes","08_A","08","S1",0
"Synergistetes","08_B","08","S2",0
"Synergistetes","09_A","09","S1",0
"Synergistetes","10_A","10","S1",1.09122154181373
"Synergistetes","10_B","10","S2",0.384839655318688
"Actinobacteria","01_A","01","S1",8.30446649421328
"Actinobacteria","01_B","01","S2",5.98191938690586
"Actinobacteria","01_C","01","S3",6.24630103523781
"Actinobacteria","02_A","02","S1",2.26122910416121
"Actinobacteria","02_B","02","S2",1.73315420868423
"Actinobacteria","02_C","02","S3",1.63512928642178
"Actinobacteria","03_A","03","S1",5.76537889153817
"Actinobacteria","03_B","03","S2",5.14966377785642
"Actinobacteria","03_C","03","S3",5.46045469152111
"Actinobacteria","04_A","04","S1",1.19862922823206
"Actinobacteria","04_B","04","S2",0.983780984893885
"Actinobacteria","04_C","04","S3",4.13844869734831
"Actinobacteria","05_A","05","S1",3.03600456299472
"Actinobacteria","05_B","05","S2",3.59655397022192
"Actinobacteria","06_A","06","S1",4.78691926405357
"Actinobacteria","07_A","07","S1",2.2254210167461
"Actinobacteria","07_B","07","S2",2.15902412922903
"Actinobacteria","08_A","08","S1",13.3125805907525
"Actinobacteria","08_B","08","S2",10.7543650311498
"Actinobacteria","09_A","09","S1",2.73188751663355
"Actinobacteria","10_A","10","S1",13.2624192987865
"Actinobacteria","10_B","10","S2",4.06424720145224
"Proteobacteria","01_A","01","S1",2.25884444846446
"Proteobacteria","01_B","01","S2",1.60279734123388
"Proteobacteria","01_C","01","S3",2.57714584866776
"Proteobacteria","02_A","02","S1",9.08783964468797
"Proteobacteria","02_B","02","S2",12.6106296814888
"Proteobacteria","02_C","02","S3",10.3228654575315
"Proteobacteria","03_A","03","S1",0.704796330631361
"Proteobacteria","03_B","03","S2",0.398301613071561
"Proteobacteria","03_C","03","S3",0.947913307716719
"Proteobacteria","04_A","04","S1",0.268231234775403
"Proteobacteria","04_B","04","S2",0.296494986020056
"Proteobacteria","04_C","04","S3",0.306097329912745
"Proteobacteria","05_A","05","S1",1.58155619385384
"Proteobacteria","05_B","05","S2",1.03889119004035
"Proteobacteria","06_A","06","S1",1.27397624127568
"Proteobacteria","07_A","07","S1",0.264554667138627
"Proteobacteria","07_B","07","S2",0.553527783235552
"Proteobacteria","08_A","08","S1",0.645770066020996
"Proteobacteria","08_B","08","S2",1.15781877820862
"Proteobacteria","09_A","09","S1",0.131100110408847
"Proteobacteria","10_A","10","S1",0.612398701667829
"Proteobacteria","10_B","10","S2",1.1952818835157
"Verrucomicrobia","01_A","01","S1",0
"Verrucomicrobia","01_B","01","S2",0
"Verrucomicrobia","01_C","01","S3",0
"Verrucomicrobia","02_A","02","S1",0.337314817006716
"Verrucomicrobia","02_B","02","S2",0.797750493896674
"Verrucomicrobia","02_C","02","S3",0.3969021944629
"Verrucomicrobia","03_A","03","S1",1.51079099575777
"Verrucomicrobia","03_B","03","S2",7.03350035328984
"Verrucomicrobia","03_C","03","S3",1.37191974265727
"Verrucomicrobia","04_A","04","S1",2.50531988845773
"Verrucomicrobia","04_B","04","S2",2.52456999873439
"Verrucomicrobia","04_C","04","S3",0.794741108488462
"Verrucomicrobia","05_A","05","S1",1.2588766779951
"Verrucomicrobia","05_B","05","S2",0.527909966778255
"Verrucomicrobia","06_A","06","S1",0.12950206539498
"Verrucomicrobia","07_A","07","S1",3.2563084646868
"Verrucomicrobia","07_B","07","S2",2.60040046937059
"Verrucomicrobia","08_A","08","S1",0
"Verrucomicrobia","08_B","08","S2",0
"Verrucomicrobia","09_A","09","S1",0.235015811695221
"Verrucomicrobia","10_A","10","S1",0.298656960303006
"Verrucomicrobia","10_B","10","S2",0.290861551572116
"Fusobacteria","01_A","01","S1",0
"Fusobacteria","01_B","01","S2",0
"Fusobacteria","01_C","01","S3",0
"Fusobacteria","02_A","02","S1",0
"Fusobacteria","02_B","02","S2",0
"Fusobacteria","02_C","02","S3",0
"Fusobacteria","03_A","03","S1",0.029997670964508
"Fusobacteria","03_B","03","S2",0
"Fusobacteria","03_C","03","S3",0.0060382722304466
"Fusobacteria","04_A","04","S1",0
"Fusobacteria","04_B","04","S2",0
"Fusobacteria","04_C","04","S3",0
"Fusobacteria","05_A","05","S1",0
"Fusobacteria","05_B","05","S2",0
"Fusobacteria","06_A","06","S1",0
"Fusobacteria","07_A","07","S1",0
"Fusobacteria","07_B","07","S2",0
"Fusobacteria","08_A","08","S1",0
"Fusobacteria","08_B","08","S2",0
"Fusobacteria","09_A","09","S1",0
"Fusobacteria","10_A","10","S1",0
"Fusobacteria","10_B","10","S2",0
"Chloroflexi","01_A","01","S1",0
"Chloroflexi","01_B","01","S2",0
"Chloroflexi","01_C","01","S3",0
"Chloroflexi","02_A","02","S1",0
"Chloroflexi","02_B","02","S2",0
"Chloroflexi","02_C","02","S3",0
"Chloroflexi","03_A","03","S1",0
"Chloroflexi","03_B","03","S2",0
"Chloroflexi","03_C","03","S3",0
"Chloroflexi","04_A","04","S1",0.0026485645096472
"Chloroflexi","04_B","04","S2",0
"Chloroflexi","04_C","04","S3",0
"Chloroflexi","05_A","05","S1",0
"Chloroflexi","05_B","05","S2",0
"Chloroflexi","06_A","06","S1",0
"Chloroflexi","07_A","07","S1",0
"Chloroflexi","07_B","07","S2",0
"Chloroflexi","08_A","08","S1",0
"Chloroflexi","08_B","08","S2",0
"Chloroflexi","09_A","09","S1",0
"Chloroflexi","10_A","10","S1",0
"Chloroflexi","10_B","10","S2",0
"Tenericutes","01_A","01","S1",0
"Tenericutes","01_B","01","S2",0
"Tenericutes","01_C","01","S3",0
"Tenericutes","02_A","02","S1",0
"Tenericutes","02_B","02","S2",0
"Tenericutes","02_C","02","S3",0
"Tenericutes","03_A","03","S1",0
"Tenericutes","03_B","03","S2",0
"Tenericutes","03_C","03","S3",0
"Tenericutes","04_A","04","S1",0
"Tenericutes","04_B","04","S2",0
"Tenericutes","04_C","04","S3",0
"Tenericutes","05_A","05","S1",0
"Tenericutes","05_B","05","S2",0
"Tenericutes","06_A","06","S1",0
"Tenericutes","07_A","07","S1",0.960013498455262
"Tenericutes","07_B","07","S2",0.785949040627758
"Tenericutes","08_A","08","S1",0
"Tenericutes","08_B","08","S2",0
"Tenericutes","09_A","09","S1",0
"Tenericutes","10_A","10","S1",0
"Tenericutes","10_B","10","S2",0
"Archaea","01_A","01","S1",4.35806062327191
"Archaea","01_B","01","S2",5.5697477913188
"Archaea","01_C","01","S3",7.95419459673526
"Archaea","02_A","02","S1",2.5162355355835
"Archaea","02_B","02","S2",1.04284557684755
"Archaea","02_C","02","S3",1.11873592721856
"Archaea","03_A","03","S1",0
"Archaea","03_B","03","S2",0
"Archaea","03_C","03","S3",0
"Archaea","04_A","04","S1",2.36017000957258
"Archaea","04_B","04","S2",1.49959938370415
"Archaea","04_C","04","S3",4.17530903794372
"Archaea","05_A","05","S1",0.0006576228084149
"Archaea","05_B","05","S2",0.0005743049731474
"Archaea","06_A","06","S1",0
"Archaea","07_A","07","S1",3.55130017296353
"Archaea","07_B","07","S2",2.09429485893473
"Archaea","08_A","08","S1",0
"Archaea","08_B","08","S2",0
"Archaea","09_A","09","S1",0
"Archaea","10_A","10","S1",5.77357264487375
"Archaea","10_B","10","S2",3.42615762176587
"Unclassified","01_A","01","S1",15.8256308494983
"Unclassified","01_B","01","S2",16.1844081727067
"Unclassified","01_C","01","S3",13.3814011229949
"Unclassified","02_A","02","S1",19.5893067756763
"Unclassified","02_B","02","S2",18.0126883823066
"Unclassified","02_C","02","S3",17.9202056786709
"Unclassified","03_A","03","S1",12.4091662541857
