feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	spike_inhibition	yes	1.795840276	0.369606502	22	9	1.18E-06	0.001641666
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	spike_inhibition	yes	0.434272237	0.096199425	22	22	6.35E-06	0.004078025
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	spike_inhibition	yes	0.791945071	0.178177429	22	22	8.80E-06	0.004078025
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	spike_inhibition	yes	0.782236641	0.178599803	22	22	1.19E-05	0.004127339
P23.PWY..reductive.TCA.cycle.I	spike_inhibition	yes	2.777318348	0.663653076	22	15	2.85E-05	0.007931288
PWY.5675..nitrate.reduction.V..assimilatory.	spike_inhibition	yes	2.008226388	0.495739359	22	16	5.10E-05	0.011816218
PWY.5723..Rubisco.shunt	spike_inhibition	yes	1.673006898	0.424606738	22	18	8.14E-05	0.016170971
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.	spike_inhibition	yes	1.094888163	0.282469359	22	11	0.000106131	0.017286094
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	stay_years	stay_years	0.727001987	0.18905828	22	22	0.000120363	0.017286094
PWY0.1337..oleate..beta..oxidation	spike_inhibition	yes	6.441038054	1.678504432	22	13	0.00012436	0.017286094
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	stay_years	stay_years	0.721858527	0.19058949	22	22	0.000152168	0.019228503
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.	spike_inhibition	yes	0.532394003	0.143122338	22	21	0.000199339	0.02309011
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	spike_inhibition	yes	0.114247239	0.031831365	22	21	0.00033177	0.025620026
PWY.7858...5Z..dodecenoate.biosynthesis.II	spike_inhibition	yes	2.708844567	0.738237044	22	16	0.000243175	0.025620026
PWY.8173..anteiso.branched.chain.fatty.acid.biosynthesis	age	age	0.331317475	0.092005273	22	2	0.00031691	0.025620026
PWY.8174..odd.iso.branched.chain.fatty.acid.biosynthesis	age	age	0.331317475	0.092005273	22	2	0.00031691	0.025620026
PWY.8175..even.iso.branched.chain.fatty.acid.biosynthesis	age	age	0.331317475	0.092005273	22	2	0.00031691	0.025620026
TCA..TCA.cycle.I..prokaryotic.	spike_inhibition	yes	0.776838799	0.212649113	22	18	0.000259044	0.025620026
PWY0.301..L.ascorbate.degradation.I..bacterial..anaerobic.	spike_inhibition	yes	2.074245084	0.580525822	22	18	0.000352854	0.025814029
THREOCAT.PWY..superpathway.of.L.threonine.metabolism	spike_inhibition	yes	2.280969181	0.643715884	22	13	0.000394942	0.027448458
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	spike_inhibition	yes	1.413135141	0.402100542	22	19	0.000440777	0.028024593
P108.PWY..pyruvate.fermentation.to.propanoate.I	spike_inhibition	yes	1.77229309	0.50582045	22	16	0.000458672	0.028024593
TCA..TCA.cycle.I..prokaryotic.	status	uninfected	-1.213934016	0.346750634	22	18	0.000463716	0.028024593
PWY0.1338..polymyxin.resistance	spike_inhibition	yes	3.19112021	0.914679546	22	13	0.000485221	0.028102406
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent.	spike_inhibition	yes	0.345805462	0.100732049	22	22	0.00059711	0.033199294
REDCITCYC..TCA.cycle.VI..Helicobacter.	spike_inhibition	yes	1.409895689	0.413531755	22	17	0.000651056	0.034806477
PWY.7204..pyridoxal.5..phosphate.salvage.II..plants.	spike_inhibition	yes	1.983977779	0.585192696	22	18	0.000698166	0.03594263
PWY.5030..L.histidine.degradation.III	spike_inhibition	yes	-0.186640096	0.055786188	22	22	0.000820951	0.039349009
PWY0.42..2.methylcitrate.cycle.I	spike_inhibition	yes	3.078405192	0.91856347	22	16	0.000804257	0.039349009
PWY.7385..1.3.propanediol.biosynthesis..engineered.	spike_inhibition	yes	2.962287826	0.900089269	22	13	0.000997948	0.046238276
GLYOXYLATE.BYPASS..glyoxylate.cycle	spike_inhibition	yes	1.438179617	0.452972297	22	17	0.00149845	0.053687909
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	spike_inhibition	yes	1.067876466	0.338035976	22	19	0.00158278	0.053687909
METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation	status	uninfected	-0.514504791	0.162300779	22	22	0.001524023	0.053687909
PWY.5690..TCA.cycle.II..plants.and.fungi.	stay_years	stay_years	-0.373995105	0.116254911	22	22	0.001295267	0.053687909
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	antibiotics	yes	1.326715436	0.419991438	22	22	0.0015836	0.053687909
PWY.6807..xyloglucan.degradation.II..exoglucanase.	age	age	3.181654085	1.003663307	22	8	0.001524173	0.053687909
PWY.6961..L.ascorbate.degradation.II..bacterial..aerobic.	spike_inhibition	yes	2.07328016	0.645315158	22	17	0.001314395	0.053687909
PWY.7118..chitin.deacetylation	spike_inhibition	yes	1.572929928	0.497639249	22	17	0.001573454	0.053687909
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	antibiotics	yes	1.333148829	0.416899869	22	22	0.001384959	0.053687909
PWY.7211..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis	spike_inhibition	yes	0.486015477	0.150062748	22	22	0.001200555	0.053687909
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation	spike_inhibition	yes	2.300467944	0.723871469	22	13	0.001482916	0.053687909
HISDEG.PWY..L.histidine.degradation.I	spike_inhibition	yes	-0.119446531	0.038142288	22	22	0.001738544	0.053875414
PWY.5675..nitrate.reduction.V..assimilatory.	status	uninfected	-2.346099042	0.750630117	22	16	0.001774994	0.053875414
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	stay_years	stay_years	0.266327957	0.08465217	22	22	0.001654383	0.053875414
