Samples	Dup_Rate	Raw_reads	Trimmed_reads	phiX_reads	human_reads	clean_reads	million_reads	est_cov
01_A	2.29%	72587756	70220956	40	69808	70151108	70.2M	86.6
01_B	1.86%	58285334	56115946	2	424512	55691432	55.7M	91.9
01_C	2.02%	64171976	62713748	14	16056	62697678	62.7M	95.0
02_A	1.35%	43100472	41788452	2	2856	41785594	41.8M	94.9
02_B	1.60%	75188534	73637710	0	12784	73624926	73.6M	91.8
02_C	2.34%	101618418	99305018	4	11360	99293654	99.3M	90.9
03_A	2.10%	60612168	58773644	4	279164	58494476	58.5M	90.0
03_B	1.68%	84372804	81938146	6	4898	81933242	81.9M	90.3
03_C	2.43%	95023588	91900828	2	3260	91897566	91.9M	86.6
04_A	1.90%	55989938	53839044	12	2414	53836618	53.8M	90.6
04_B	1.61%	69688384	67879204	14	10344	67868846	67.9M	95.8
04_C	1.78%	49328540	47746540	24	1308	47745208	47.7M	95.3
05_A	2.33%	93558862	91179422	6	177030	91002386	91.0M	94.0
05_B	2.58%	130829844	126808802	6	10138	126798658	126.8M	94.0
06_A	1.68%	17904616	17188316	0	574	    17187742	17.2M	93.6
07_A	1.77%	62853406	61272792	4	1986	61270802	61.3M	96.1
07_B	1.75%	37471372	36255908	2	640	    36255266	36.3M	93.5
08_A	1.61%	60195282	58548378	4	316	    58548058	58.5M	94.8
08_B	1.91%	32359910	31388748	2	1602	31387144	31.4M	89.8
09_A	1.15%	8848030	    8638950	    2	728	    8638220	    8.6M	95.0
10_A	1.17%	27968566	27149566	0	119342	27030224	27.0M	95.4
10_B	2.18%	89104866	87197542	2	575146	86622394	86.6M	94.2
